,job_title,skills,experience,job_requirement
86,Lead Data Analyst,"['Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Data', 'Analytical', 'Power BI', 'Tableau', 'BI', 'Data Visualization', 'Information Technology (IT)', 'English', 'Microsoft Excel', 'Microsoft Office', 'Computer Skills', 'Computer Science', 'Python', 'R', 'SQL']",More Than 5 Years,5+ years hands-on experience in the data field Advanced level of SQL Advanced knowledge of Tableau or a similar visualization tool Advanced level in either R or Python Fluency in English Football enthusiasm is a plus
87,Software business analyst ( KSA ),"['Business Analysis', 'business', 'Data', 'Information Technology (IT)', 'Business Intelligence', 'SQL', 'Microsoft Excel', 'Microsoft Office', 'Python', 'Communication', 'Analysis', 'Data Entry', 'Computer Science', 'MIS', 'Science']",3 To 10 Years,Bachelor degree in MIS. computer science or any relevant degree Willing to constantly travel for training duties abroad within the gulf area Experience in data models and reporting packages Exceptional Microsoft Excel skills Knowledge of SQL and Python\ statistical programming Ability to write comprehensive reports and analyze large data sets Has strong analytics skills and attention to detail Strong communication and presentation skills Experience in business intelligence
88,Financial Data Analyst - (French/Russian/German) Speakers,"['Alsun', 'Accounting', 'English', 'french', 'Russian', 'turkish', 'Analysis', 'Financial Analysis', 'Finance']",0 To 2 Years,Job Requirements Graduated From: Faculty of Alsun French/Russian/German Department / Departement de Grestion et de Commerce Inernationale / Faculty of Law - French section / langues et tarduction Francaise Fluent in French/Russian/German Fluent in English
89,Financial Data Analyst,"['Accounting', 'English', 'Finance', 'Financial Analysis', 'Commerce', 'Analysis', 'Communication skills', 'Microsoft Office', 'Communication']",0 To 2 Years,Experience : 0-2 years of experience Bachelor Degree in the Faculty of Commerce. English Section  Skills: Fluency in English  Self-management Critical thinking and problem-solving skills Excellent communication skills are also critical. and prospective candidates should be able to retrieve information from a variety of sources. such as websites. company-provided logs. emails and calls with key contacts. or face-to-face interactions. Planning and negotiating skills Initiative and self-confidence. Ability to learn quickly Strong working knowledge of Microsoft Office programs. Teamwork
90,Real Estate Sales Agent,"['Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Care', 'Communication Skills', 'English', 'Communication', 'Property Sales', 'Property Consultant', 'Skills']",More Than 1 Year,Bachelor’s Degree Min. 1 year prior experience of real estate  (experience in  New Cairo market is an advantage ) Good English language. Qualifications: Detailed oriented & ability to multi-task. Proactive. A fast worker with the ability to work well under stress. Excellent interpersonal. oral and written communication skills. Excellent customer handling skills. Benefits: Incentives. Very Good Communications
91,Sales Agents,"['Sales Skills', 'Sales', 'Sales Target', 'Outdoor', 'Sales Outdoor', 'Communication Skills', 'Outdoor Sales', 'CRM', 'Customer Service', 'English', 'Real Estate']",1 To 2 Years,Sales outdoor experience. Presentable Selling skills Negotiations skills.
92,Real Estate Sales Agent,"['Property consultant', 'sales skills', 'Sales', 'Real Estate', 'Property', 'Sales Target', 'Senior Property consultant', 'senior', 'Cold Calls', 'Computer Skills', 'English', 'Experience', 'New Cairo', 'Primary', 'Skills', 'media', 'resale']",More Than 3 Years,At least 3 years recent experience in real estate Resale/Primary (or both) Experienced in preparing & posting real estate ADs on different platforms Owns a car Lives in or within the vicinity of New Cairo Very good command of spoken and written English language Excellent computer skills (Excel/Word) Must give a proof of previous achievements Benefits  Salary plus commission  Fresh Leads / Marketing Budget Training Technical Support Orientations/Site Visits Administrative Support
93,Real Estate Sales Agent,"['Real Estate', 'Sales', 'Sales Target', 'Microsoft Office', 'Excel', 'Computer', 'Property Consulting', 'English', 'Computer Skills', 'Sales Real Estate', 'Real Estate Sales']",0 To 3 Years,Excellent Computer skills. Excellent command of Microsoft office (Word & Excel). Very good command of English. Presentable. Own a car (preferably). Must have a laptop.
94,Sales Agent,"['Selling', 'Cosmetics', 'Makeup', 'sales skills', 'Sales Target']",2 To 4 Years,Experience in the field of cosmetics Presentable Bachelor Degree Excellent selling. communication and negotiation skills Highly motivated and target driven with a proven track record in sales Punctual and responsible. Max age 35 years
95,Sales Agent,"['Customer Service', 'English', 'sales skills', 'Sales Target']",0 To 1 Year,Candidates with the following will be preferred: Presentable Excellent communication skills Good command of English. 6th of October residents    
96,Retail Sales Agent,"['Customer Service', 'Sales', 'sales skills', 'Sales Target', 'English']",0 To 1 Year,Candidates with the following will be preferred: Presentable Excellent communication skills Good command of English. Nasr city residents
97,Retail Sales Agent,"['Fashion', 'Retail Sales', 'Customer Service', 'Communication skills', 'Communication', 'Sales Target', 'inventory', 'Marketing', 'Sales', 'Skills', 'sales skills', 'Retail']",1 To 3 Years,Proven work experience as a Retail Sales Representative. Sales Associate or similar role Understanding of the retail sales process Familiarity with consumer behavior principles Knowledge of inventory stocking procedures Basic math skills Track record of achieving sales quotas Excellent communication skills. capable of building trusting relationships Ability to perform in fast-paced environments Flexibility to work various shifts High school degree BSc in Marketing or related field is a plus
98,Outdoor Sales Agent- Cairo,"['Sales Target', 'Presentation Skills', 'Outdoor Sales', 'Sales', 'Negotiation']",1 To 3 Years,Excellent communication skills Excellent presentation skills Very good Negotiation skills Good level of English From 1 to 3 years experience Males Only 5 days in Cairo + 1 day in Tanta (Meeting with Sales team and management)
99,Outdoor Sales Agent,"['Negotiation', 'negotiation skills', 'Outdoor Sales', 'Presentation', 'sales skills', 'Sales Target', 'Sales', 'Sales Outdoor']",0 To 3 Years,Excellent communication skills Excellent presentation skills Very good Negotiation skills
100,Senior Real Estate Sales Agents,"['Real Estate', 'Sales Skills', 'Sales Target', 'English', 'Negotiation']",More Than 3 Years,Experience in the field must be more than 3 years. preferred to be in October city. Bachelor Degree. Good English Skills. Good communication. presentation. and negotiation skills. Good use of Microsoft Office and google services. October Residences are preferred.
101,Outdoor Sales Agent,"['Outdoor Sales', 'Presentation', 'Presentation Skills', 'Skills', 'Sales', 'Communication skills', 'Communication', 'Sales Skills']",More Than 1 Year,Strong negotiating skills Presentable Bachelor degree Excellent Presentation skills & communication skills Excellent written and verbal communication skills. Males or female
102,Medical Sales Agent,"['Pharmaceutical', 'Medical', 'Pharmacy', 'Sales', 'Sales Target', 'Vet', 'Science', 'Representative', 'Skills']",1 To 5 Years,Education: Bachelor Degree (science. pharmacy or Vet) Experience : from 6 months to 1 year as  medical Representative location : Alexandria (is a must) Excellent level of commitment. accuracy and urgency. Good decision making and Problem solving skills. High ability to work under continuous stress.
103,Senior Sales Agent - Brokerage,"['Communication', 'Communication skills', 'CRM', 'Experience', 'Negotiation', 'Real Estate', 'sales skills', 'Sales Target', 'Selling', 'Sales', 'Property Sales', 'Property Consultant', 'Property', 'Real Estate Sales']",More Than 2 Years,At least 2 year of sales experience. Excellent Communication Skills & Presentable. Experience in Selling Real Estate is must. Dealing with CRM system. Strong sales. negotiation and communication skills.
104,Senior Direct Sales Agent,"['Sales Target', 'Customer Service', 'English', 'Sales Skills', 'Customer Care', 'Customer Support', 'Retail']",3 To 4 Years,Knowledge and understanding of the sales and distribution opportunities in the MENA territories and relevant distribution technologies Knowledge of sales and distribution practices and techniques for customer. business-to-business and direct retail. Excellent English and Excel. Abilities to travel and meet with business partners Able to work under pressure  Able to meet deadlines Able to work for long hours
105,Executive Chef (Egyptian or Foreigner) - Alexandria,"['Hotels', 'Hospitality', 'Food Science', 'Culinary Science', 'Microsoft Office', 'POS', 'Restaurant Management Software', 'Kitchen Management', 'Computer Skills', 'À La Carte', 'Restaurant', 'Kitchen']",More Than 10 Years,Preferred experience in big restaurants We provide accommodation in Alexandria for non-residents Proven working experience as a Head Chef Excellent record of kitchen management Ability to spot and resolve problems efficiently Capable of delegating multiple tasks Communication and leadership skills Keep up with cooking trends and best practices Working knowledge of various computer software programs (MS Office. restaurant management software. POS) BS degree in Culinary Science or related certificate
106,Executive Chef - Hospitality Manager,"['Tourism/Travel', 'Chef', 'Executive', 'Executive Chef', 'Hospitality', 'Food', 'hotel', 'Hotels', 'Leadership', 'Management', 'Microsoft Office', 'Tourism']",6 To 12 Years,6-12 Years of experience in the Hospitality industry in reputable (Hotel/ Hospital) with at least 2 years in a managerial position Bachelor degree in Tourism and Hotels Experience as an executive chef is a must Must have a solid knowledge of Hospitality Management. procedures. processes. and best practices. Food Safety & Quality Standards Infection control knowledge. Excellent leadership. decision-making. and problem-solving skills. HACCP Knowledge (preferable)
107,Head Chef (Bakery & Pastry),"['Pastry', 'Pastry Chef', 'Cooking', 'Hospitality', 'Hotels', 'Operations Management']",5 To 7 Years,Obtaining an appropriate qualification. Previous experience in a pastry chef position
108,Bakery Chef,"['Chef', 'Bakery', 'Hospitality']",3 To 7 Years,3-7 years of experience
109,Chef De Partie,"['Hospitality', 'Food Services', 'Cooking']",3 To 7 Years,مؤهل متوسط ، من الضرورى الحصول على خلفيه تعليميه فى فنون الطهى خبره لا تقل عن 3 سنوات فى وظيفة مماثله المعرفة بالمصطلحات المهنية باللغة الإنجليزية (قراءه) الإمام بطرق الإستخدام الأمثل لمعدات المطبخ. الإلمام بطرق وأساليب إعداد الطعام الخاصة بتخصصه المعرفة الجيدة عن قواعد وقوانين النظافة الشخصية (HACCP )و سلامة الغذاء
110,Pastry Chef,"['Chef', 'Chocolate']",More Than 10 Years,خبرة لا تقل عن ١٠ سنين
111,Demi Chef,"['Hospitality', 'Cooking']",3 To 7 Years,مؤهل متوسط ، من الضرورى الحصول على خلفيه تعليميه فى فنون الطهى خبره لا تقل عن 3 سنوات فى وظيفة مماثله المعرفة بالمصطلحات المهنية باللغة الإنجليزية (قراءه) الإمام بطرق الإستخدام الأمثل لمعدات المطبخ. الإلمام بطرق وأساليب إعداد الطعام الخاصة بتخصصه المعرفة الجيدة عن قواعد وقوانين النظافة الشخصية (HACCP )و سلامة الغذاء
112,Cooking Chef,"['Hotels', 'Hospitality', 'Cooking', 'Chef']",10 To 13 Years,+10 years of experience Willingness to work in Comoros Island Excellent Communication Skills
113,Chef,"['Food quality', 'Guest Satisfaction', 'Hotels', 'Hygiene', 'Kitchen', 'quality', 'Hospitality', 'Chef']",More Than 2 Years, Key Responsibilities are as follows: - Provide the highest food quality consistent with cost control and profitability margins to maximize guest satisfaction and food profitability - Ensures that proper safety. hygiene. and sanitation practices are followed -Modify menus or create new ones that meet quality standards - Estimate food requirements and food/labor costs -Supervise kitchen staff’s activities -Arrange for ingredients & equipment purchases and repairs
114,Executive Chef,"['Culinary Science', 'Chef', 'Hotels', 'Kitchen', 'Catering', 'Kitchen Catering', 'ISO 22000', 'ISO 9000', 'HACCP', 'GMP', 'GHP']",More Than 15 Years,Aware of ISO 22000. ISO 9000. HACCP GMP GHP
115,Bakery Chef,"['Chef', 'Hospitality']",More Than 10 Years,Ability to spot and resolve problems efficiently Communication and leadership skills Proven working experience as a Head Chef Excellent record of kitchen management Keep up with cooking trends and best practices 5+ years’ experience in leading role in same field The successful candidate will have a background in chocolate and pastries and must have a minimum of 10 years experience.  Hotel experience is preferred. The chef must be creative with dessert creations and continually research . and test new different dessert and baking recipes.
116,Head Chef,"['Hospitality', 'Food Services', 'Food', 'Cooking', 'HACCP', 'English']",10 To 19 Years,Proven restaurant experience is a must. Bachelor Degree 10 years of proven work experience as a head chef Communication and leadership skills Good Microsoft office user Good English Language
117,Head Chef,"['Cooking', 'Food Services']",More Than 2 Years,Lebanese food experience is Must Cooking diploma or food services management A minimum of 2 years of cooking experience in the food section Neat. clean and well-groomed appearance Pleasant personality and positive attitude Ability to work under pressure Ability  to work in a standing position for the duration of the whole shift Ability to administer first aid techniques Ability to be proactive. self-motivated. and self-directed Ability to deal with the volatility of customers. supervisors and employees Ability to work schedules and assign duties Ability to work varied hours/days. including nights. weekends. and holidays. as needed Attentive to details Customer service oriented Dynamic. resourceful and good decision maker when facing business problems Good interpersonal communication skills Good leadership skills Good product management and manpower handling skills Good time management and multitasking skills. and ability to prioritize tasks Knowledge about products. utensil and equipment present in the kitchen Knowledge in food and beverage trends. quality. production. sanitation. food cost controls. and presentation Knowledge in methods and procedures for serving food. principles of sanitation. and principles of safe food handling Knowledge of HACCP standards   Must be free of diseases that may be transmitted in the performance of job responsibilities Up-to-date with the local and global industry trends Good command of English and Arabic
118,Baker,"['Administration', 'Food', 'Cooking']",3 To 5 Years,Obtain a relevant certificate. Previous work experience in a Assistant Chef position
119,DevOps Engineer,"['Engineering - Telecom/Technology', 'DevOps', 'AWS', 'Docker Hub', 'GitLab', 'Chef', 'Bamboo', 'Ansible', 'Docker Swarm', 'Liquibase', 'Web Development', 'Software Development', 'Computer Science', 'engineer', 'Information Technology (IT)', 'CD', 'CI', 'Cloud', 'Git', 'Github', 'Js', 'MySQL', 'PHP']",More Than 3 Years,DevOps Requirements:  Git and GitHub application management practices Day-to-day production deployments and coordination with developers  CI / CD processes for stage (automated) and production (manual)  Service incident management: Ticket triage and assignment  New Relic application monitoring and optimization advisories  Log management and monitoring  Liaison management of client cloud systems providers and hosting partners  Solution provider sourcing and selection Technology Scope  You will be exposed but not limited to the following:  PHP / MySQL (RDS / Aurora) Vue.js / Vuex Google Firebase nginx Redis AWS Liquibase Jenkins / Bamboo Chef / Ansible Docker Swarm Docker Hub GitLab
